troncon_unique_id,stop_depart_parent_id,stop_arrivee_parent_id,stop_depart_name,stop_arrivee_name,lat_depart_parent,lon_depart_parent,lat_arrivee_parent,lon_arrivee_parent
TU_BUS_000188,S5584,S5595,Pastourelles,Pierre Laroque,43.621848395,3.900854595,43.621339895,3.90431174
TU_BUS_000189,S5653,S5959,Salaison,Jules Isaac,43.62385233,3.89873146,43.62214345,3.89816498
TU_BUS_000190,S5190,S5653,La Pompignane (Les Lacs),Salaison,43.62523849,3.900167805,43.62385233,3.89873146
TU_BUS_000191,S5177,S5190,Charles de Gaulle,La Pompignane (Les Lacs),43.62817536375,3.8974032625,43.62523849,3.900167805
TU_BUS_000192,S5177,S5177,Charles de Gaulle,Charles de Gaulle,43.62817536375,3.8974032625,43.62817536375,3.8974032625
TU_BUS_000193,S5177,S5642,Charles de Gaulle,Saint-Lazare,43.62817536375,3.8974032625,43.6269325875,3.88880371
TU_BUS_000194,S5558,S5642,Maurice Chevalier,Saint-Lazare,43.62841497,3.887457885,43.6269325875,3.88880371
TU_BUS_000195,S5558,S5630,Maurice Chevalier,Roqueturière,43.62841497,3.887457885,43.630111585,3.885746505
TU_BUS_000196,S5390,S5630,Bengalis,Roqueturière,43.628635425,3.883045595,43.630111585,3.885746505
TU_BUS_000197,S5368,S5390,Aiguelongue,Bengalis,43.6264142775,3.8826203625,43.628635425,3.883045595
TU_BUS_000198,S5368,S5664,Aiguelongue,Tourterelles,43.6264142775,3.8826203625,43.625786785,3.878556595
TU_BUS_000199,S5649,S5664,Sainte-Catherine,Tourterelles,43.626333525,3.876461315,43.625786785,3.878556595
TU_BUS_000200,S5543,S5649,Major Flandre,Sainte-Catherine,43.626952605,3.87338408,43.626333525,3.876461315
TU_BUS_000201,S5492,S5543,Henri Dunant,Major Flandre,43.626838505,3.869068085,43.626952605,3.87338408
TU_BUS_000202,S5456,S5675,Fac de Pharmacie,Voie Domitienne,43.624126705,3.86248603,43.622448355,3.86005905
TU_BUS_000203,S5413,S5675,Cinsaults,Voie Domitienne,43.62056808,3.856964825,43.622448355,3.86005905
TU_BUS_000204,S5413,S5493,Cinsaults,Henri Marès,43.62056808,3.856964825,43.62014547,3.854088945
TU_BUS_000205,S5493,S5534,Henri Marès,Louis Ravaz,43.62014547,3.854088945,43.61987619,3.85181424
TU_BUS_000206,S5534,S5626,Louis Ravaz,Rièges,43.61987619,3.85181424,43.61965914,3.849336755
TU_BUS_000207,S5505,S5626,Jean Calvin,Rièges,43.618623525,3.845925085,43.61965914,3.849336755
TU_BUS_000208,S5389,S5505,Belvédère,Jean Calvin,43.617129325,3.842513825,43.618623525,3.845925085
TU_BUS_000209,S5540,S5662,Lycée Jules Ferry,Tonnelles,43.608687295,3.840955145,43.6136009216667,3.83884714833333
TU_BUS_000210,S5573,S5658,Ormeaux,Sophie Germain,43.60252455,3.833531505,43.60505589,3.83542253
TU_BUS_000211,S5529,S5573,Les Bouisses,Ormeaux,43.5986651566667,3.83536415333333,43.60252455,3.833531505
TU_BUS_000212,S5424,S5586,Collège Marcel Pagnol,Paul Fajon,43.596258555,3.84649082,43.596375575,3.83711203
TU_BUS_000213,S5424,S5921,Collège Marcel Pagnol,Bugarel,43.596258555,3.84649082,43.592388475,3.852925135
TU_BUS_000214,S5522,S5552,Le Grand M,Mas de Bagnères,43.5909052933333,3.85484196,43.587421635,3.858377095
TU_BUS_000215,S5552,S5633,Mas de Bagnères,Sabines,43.587421635,3.858377095,43.583822352,3.860158464
TU_BUS_000216,S5559,S5964,Millénaire,Odysseum,43.6031326475,3.910093335,43.60506758,3.91673114
TU_BUS_000217,S5465,S5491,Frédéric Bazille,Hélios,43.60271354,3.88053167,43.60099589,3.88560649
TU_BUS_000218,S5491,S5657,Hélios,Soleiado,43.60099589,3.88560649,43.60050774,3.88673748
TU_BUS_000219,S5405,S5657,Chambéry,Soleiado,43.59910248,3.889445435,43.60050774,3.88673748
TU_BUS_000220,S5405,S5423,Chambéry,Collège des Aiguerelles,43.59910248,3.889445435,43.597575135,3.892199415
TU_BUS_000221,S5423,S5507,Collège des Aiguerelles,Jean Mirailhet,43.597575135,3.892199415,43.595319745,3.891191785
TU_BUS_000222,S5470,S5507,Garcia Lorca,Jean Mirailhet,43.59120512625,3.89046299125,43.595319745,3.891191785
TU_BUS_000223,S5470,S5546,Garcia Lorca,Maréchal Leclerc,43.59120512625,3.89046299125,43.594318885,3.88513482
TU_BUS_000224,S5546,S5926,Maréchal Leclerc,Centrayrargues,43.594318885,3.88513482,43.59660454,3.88088611
TU_BUS_000225,S5402,S5438,Centrayrargues,Descartes,43.59686638,3.8808066,43.59667439,3.88354737
TU_BUS_000226,S5438,S5621,Descartes,Razeteurs,43.59667439,3.88354737,43.59557912,3.88407432
TU_BUS_000227,S5546,S5621,Maréchal Leclerc,Razeteurs,43.594318885,3.88513482,43.59557912,3.88407432
TU_BUS_000228,S5416,S5657,Cité Mion,Soleiado,43.600936575,3.884726605,43.60050774,3.88673748
TU_BUS_000229,S5451,S5665,Eugène Bataillon,Universités des Sciences et Lettres,43.631604815,3.860668445,43.629406725,3.86131316166667
TU_BUS_000230,S5451,S5475,Eugène Bataillon,Gascogne,43.631604815,3.860668445,43.63436554,3.85996855
TU_BUS_000231,S5475,S5903,Gascogne,Paul Parguel,43.63436554,3.85996855,43.63664447,3.85996746
TU_BUS_000232,S5442,S5903,École d'Architecture,Paul Parguel,43.637812925,3.85870513,43.63664447,3.85996746
TU_BUS_000233,S5442,S5557,École d'Architecture,Maurice Chauvet,43.637812925,3.85870513,43.638574005,3.856683015
TU_BUS_000234,S5557,S5591,Maurice Chauvet,Pic Saint-Loup,43.638574005,3.856683015,43.63915378,3.8544456
TU_BUS_000235,S5591,S5611,Pic Saint-Loup,Plan des 4 Seigneurs,43.63915378,3.8544456,43.640827535,3.8578509
TU_BUS_000236,S5497,S5611,Hortus,Plan des 4 Seigneurs,43.643099095,3.85997256,43.640827535,3.8578509
TU_BUS_000237,S5497,S5537,Hortus,Lycée Frédéric Bazille,43.643099095,3.85997256,43.6452835233333,3.86232108333333
TU_BUS_000238,S5397,S5537,Campus Agropolis,Lycée Frédéric Bazille,43.6446802,3.86896928,43.6452835233333,3.86232108333333
TU_BUS_000239,S5397,S5681,Campus Agropolis,Zoo,43.6446802,3.86896928,43.639937545,3.87312703
TU_BUS_000240,S5520,S5681,Lavalette,Zoo,43.637735195,3.869311025,43.639937545,3.87312703
TU_BUS_000241,S5520,S5670,Lavalette,Vert-Bois,43.637735195,3.869311025,43.6348552,3.86795266
TU_BUS_000242,S5670,S5902,Vert-Bois,École de Chimie,43.6348552,3.86795266,43.634301445,3.865152915
TU_BUS_000243,S5902,S5903,École de Chimie,Paul Parguel,43.634301445,3.865152915,43.63664447,3.85996746
TU_BUS_000244,S5367,S5397,Agropolis,Campus Agropolis,43.64674464,3.8685625,43.6446802,3.86896928
TU_BUS_000245,S5367,S5673,Agropolis,Vincent Auriol,43.64674464,3.8685625,43.64776173,3.8640215
TU_BUS_000246,S5537,S5673,Lycée Frédéric Bazille,Vincent Auriol,43.6452835233333,3.86232108333333,43.64776173,3.8640215
TU_BUS_000247,S5633,S5906,Sabines,Etienne Méhul,43.583822352,3.860158464,43.578644675,3.859886905
TU_BUS_000248,S5906,S5908,Etienne Méhul,Raymond Recouly,43.578644675,3.859886905,43.57583367,3.860016005
TU_BUS_000249,S5908,S5939,Raymond Recouly,Georges Onslow,43.57583367,3.860016005,43.572639925,3.861470195
TU_BUS_000250,S5939,S5940,Georges Onslow,Pont de Guerre,43.572639925,3.861470195,43.57394239,3.867266665
TU_BUS_000251,S5450,S5940,Ettore Bugatti,Pont de Guerre,43.577878025,3.86865803,43.57394239,3.867266665
TU_BUS_000252,S5450,S5661,Ettore Bugatti,TaM,43.577878025,3.86865803,43.581424975,3.87019992
TU_BUS_000253,S5437,S5661,Demeter,TaM,43.58327517,3.8722158,43.581424975,3.87019992
TU_BUS_000254,S5399,S5437,Castelle,Demeter,43.586630385,3.8720648,43.58327517,3.8722158
TU_BUS_000255,S5399,S5583,Castelle,Passerines,43.586630385,3.8720648,43.58854003,3.872425295
TU_BUS_000256,S5530,S5583,Les Pins,Passerines,43.590804915,3.87340758,43.58854003,3.872425295
TU_BUS_000257,S5530,S5635,Les Pins,Saint-Cléophas,43.590804915,3.87340758,43.5949304025,3.8758284025
TU_BUS_000258,S5553,S5594,Mas de Bellevue,Pierre de Coubertin,43.63681437,3.81266425,43.637806405,3.814738435
TU_BUS_000259,S5427,S5553,Comté de Nice,Mas de Bellevue,43.63877674,3.811483355,43.63681437,3.81266425
TU_BUS_000260,S5427,S5430,Comté de Nice,Corse,43.63877674,3.811483355,43.64076861,3.811435785
TU_BUS_000261,S5430,S5502,Corse,Jacques Prévert,43.64076861,3.811435785,43.642314475,3.81410003
TU_BUS_000262,S5502,S5949,Jacques Prévert,Collège les Garrigues,43.642314475,3.81410003,43.64308353,3.816700965
TU_BUS_000263,S5608,S5949,Place d'Italie,Collège les Garrigues,43.64184266,3.81836469,43.64308353,3.816700965
TU_BUS_000264,S5398,S5608,Carriéra,Place d'Italie,43.640816765,3.81909935,43.64184266,3.81836469
TU_BUS_000265,S5398,S5592,Carriéra,Pierre Cardenal,43.640816765,3.81909935,43.63836513,3.818911915
TU_BUS_000266,S5428,S5592,Comté de Toulouse,Pierre Cardenal,43.636906435,3.819084465,43.63836513,3.818911915
TU_BUS_000267,S5428,S5620,Comté de Toulouse,Raimbaud d'Orange,43.636906435,3.819084465,43.63746292,3.821116505
TU_BUS_000268,S5490,S5620,Hauts de Massane,Raimbaud d'Orange,43.63625433,3.82271583,43.63746292,3.821116505
TU_BUS_000269,S5476,S5490,Gémeaux,Hauts de Massane,43.63304272,3.822554895,43.63625433,3.82271583
TU_BUS_000270,S5476,S5950,Gémeaux,Uppsala,43.63304272,3.822554895,43.629740695,3.822431845
TU_BUS_000271,S5574,S5950,Oxford,Uppsala,43.627714855,3.822007865,43.629740695,3.822431845
TU_BUS_000272,S5541,S5574,Lycée Léonard de Vinci - Pierresvives,Oxford,43.625966,3.823998125,43.627714855,3.822007865
TU_BUS_000273,S5498,S5541,Hôtel du Département,Lycée Léonard de Vinci - Pierresvives,43.62187434,3.83501314,43.625966,3.823998125
TU_BUS_000274,S5498,S5581,Hôtel du Département,Parc Malbosc,43.62187434,3.83501314,43.62340226,3.83097263
TU_BUS_000275,S5541,S5581,Lycée Léonard de Vinci - Pierresvives,Parc Malbosc,43.625966,3.823998125,43.62340226,3.83097263
TU_BUS_000276,S5411,S5484,Cimetière Saint-Étienne,Grammont,43.61493063,3.93561341,43.61414078,3.93065442
TU_BUS_000277,S5411,S5680,Cimetière Saint-Étienne,Zénith,43.61493063,3.93561341,43.612162405,3.93100132
TU_BUS_000278,S5480,S5680,Georges Méliès,Zénith,43.606735235,3.922870225,43.612162405,3.93100132
TU_BUS_000279,S5480,S5572,Georges Méliès,Odysseum,43.606735235,3.922870225,43.6042340125,3.9199430925
